Date,Open,High,Low,Close,Adj Close,Volume
21,12792.320313,12804.419922,12708.990234,12774.259766,12774.259766,69868700
22,12758.660156,12806.019531,12717.290039,12794.000000,12794.000000,71786400
23,12757.969727,12787.219727,12677.400391,12733.410156,12733.410156,76118600
26,12783.889648,12841.309570,12752.750000,12770.830078,12770.830078,68282500
27,12728.500000,12751.200195,12644.950195,12671.019531,12671.019531,107010400
28,12586.059570,12671.280273,12536.860352,12647.269531,12647.269531,103590500
29,12707.480469,12729.179688,12396.129883,12416.190430,12416.190430,115458700
30,12424.500000,12459.690430,12319.000000,12325.120117,12325.120117,103836900
03,12396.339844,12486.290039,12390.730469,12475.309570,12475.309570,77064400
04,12413.599609,12481.809570,12411.559570,12437.129883,12437.129883,64565700
05,12432.410156,12496.820313,12406.690430,12453.679688,12453.679688,82624300
06,12474.509766,12490.719727,12316.429688,12381.250000,12381.250000,112350300
